iter	Passed	Remaining
0	0	66
1	1	72
2	2	73
3	2	66
4	3	67
5	4	67
6	4	65
7	5	64
8	6	62
9	6	60
10	7	59
11	8	58
12	8	57
13	9	57
14	9	56
15	10	54
16	11	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	46
23	15	48
24	15	47
25	16	46
26	17	46
27	18	46
28	18	45
29	19	45
30	20	46
31	21	45
32	22	45
33	23	45
34	24	45
35	25	44
36	26	44
37	26	43
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	41	29
58	42	29
59	42	28
60	43	28
61	44	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	22
70	51	21
71	53	20
72	54	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	66	11
85	67	10
86	67	10
87	68	9
88	70	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
